state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,date_export,geo_level,version,suggested_citation
IL,17,31,Cook County,30601,17031030601,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80,74.4,85.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30603,17031030603,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30604,17031030604,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79,75.5,82.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30701,17031030701,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.7,76.5,82.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30702,17031030702,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.7,73.3,82.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30703,17031030703,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,75.4,72.8,78,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30706,17031030706,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.4,76.9,81.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30800,17031030800,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,78.5,83.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30900,17031030900,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.9,78.1,85.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31000,17031031000,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.2,76.7,81.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31100,17031031100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,82.7,79.3,86.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31200,17031031200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,67.3,65.2,69.4,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31300,17031031300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,78.1,75.7,80.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31400,17031031400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.8,75.8,79.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31501,17031031501,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.6,76.2,85,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31502,17031031502,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,75.7,72.6,78.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31700,17031031700,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,74.1,71,77.2,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31800,17031031800,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,82,79.2,84.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,31900,17031031900,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,77.7,84.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,32100,17031032100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.7,78.4,83,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40100,17031040100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,78.5,75.8,81.2,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40201,17031040201,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.4,77.3,81.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40202,17031040202,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.1,74.6,79.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40300,17031040300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,79,83.2,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40401,17031040401,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.9,76,87.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40402,17031040402,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,77.9,84.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40600,17031040600,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.6,77,84.2,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40700,17031040700,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40800,17031040800,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,78.8,83.4,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,40900,17031040900,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81,75.7,86.3,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50100,17031050100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.5,76.1,86.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50200,17031050200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,79.6,83,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50300,17031050300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.3,76,84.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50500,17031050500,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,77.5,85.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50600,17031050600,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,76,86.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50700,17031050700,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.3,75,85.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50800,17031050800,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,50900,17031050900,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,78.4,84.2,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,51000,17031051000,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,76,86.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,51100,17031051100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,51200,17031051200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,51300,17031051300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,51400,17031051400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,82,76.3,87.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60100,17031060100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60200,17031060200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,76.2,86,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60300,17031060300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.3,78.6,84,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60400,17031060400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60500,17031060500,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.2,74.8,85.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60800,17031060800,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.8,76.7,84.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,60900,17031060900,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,84.1,78.6,89.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,61000,17031061000,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,61100,17031061100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,61200,17031061200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.9,74.6,87.2,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
