Layer,Name,GEOID,HDX_2015-2019,HDX_2015-2019_moe
Census tract,Tract 1001,17031100100,34.4,
Census tract,Tract 1002,17031100200,20.1,
Census tract,Tract 1003,17031100300,17.2,
Census tract,Tract 1004,17031100400,24.3,
Census tract,Tract 1005,17031100500,25.2,
Census tract,Tract 1006,17031100600,26.3,
Census tract,Tract 1007,17031100700,15.9,
Census tract,Tract 1101,17031110100,45.5,
Census tract,Tract 1102,17031110200,35.6,
Census tract,Tract 1103,17031110300,41.1,
Census tract,Tract 1104,17031110400,33.9,
Census tract,Tract 1105.01,17031110501,37.0,
Census tract,Tract 1105.02,17031110502,23.8,
Census tract,Tract 1201,17031120100,9.1,
Census tract,Tract 1202,17031120200,13.0,
Census tract,Tract 1203,17031120300,26.9,
Census tract,Tract 1204,17031120400,24.2,
Census tract,Tract 1301,17031130100,76.4,
Census tract,Tract 1302,17031130200,17.5,
Census tract,Tract 1303,17031130300,80.7,
Census tract,Tract 1401,17031140100,76.6,
Census tract,Tract 1402,17031140200,82.0,
Census tract,Tract 1403.01,17031140301,93.8,
Census tract,Tract 1403.02,17031140302,72.5,
Census tract,Tract 1404,17031140400,41.3,
Census tract,Tract 1405,17031140500,70.1,
Census tract,Tract 1406.01,17031140601,74.3,
Census tract,Tract 1406.02,17031140602,72.2,
Census tract,Tract 1407.01,17031140701,64.0,
Census tract,Tract 1407.02,17031140702,74.5,
Census tract,Tract 1408,17031140800,28.2,
Census tract,Tract 1502,17031150200,56.7,
Census tract,Tract 1503,17031150300,30.5,
Census tract,Tract 1504.01,17031150401,44.4,
Census tract,Tract 1504.02,17031150402,27.1,
Census tract,Tract 1505.01,17031150501,44.6,
Census tract,Tract 1505.02,17031150502,40.3,
Census tract,Tract 1506,17031150600,23.4,
Census tract,Tract 1507,17031150700,54.6,
Census tract,Tract 1508,17031150800,54.2,
Census tract,Tract 1510.01,17031151001,58.9,
Census tract,Tract 1510.02,17031151002,72.8,
Census tract,Tract 1511,17031151100,62.3,
Census tract,Tract 1512,17031151200,47.6,
Census tract,Tract 1601,17031160100,55.8,
Census tract,Tract 1602,17031160200,13.2,
Census tract,Tract 1603,17031160300,23.0,
Census tract,Tract 1604,17031160400,42.3,
Census tract,Tract 1605.01,17031160501,65.0,
Census tract,Tract 1605.02,17031160502,63.8,
Census tract,Tract 1606.01,17031160601,23.2,
Census tract,Tract 1606.02,17031160602,20.0,
Census tract,Tract 1607,17031160700,17.1,
Census tract,Tract 1608,17031160800,50.6,
Census tract,Tract 1609,17031160900,15.2,
Census tract,Tract 1610,17031161000,15.8,
Census tract,Tract 1611,17031161100,3.0,
Census tract,Tract 1612,17031161200,64.3,
Census tract,Tract 1613,17031161300,50.5,
Census tract,Tract 1701,17031170100,45.5,
Census tract,Tract 1702,17031170200,26.1,
Census tract,Tract 1703,17031170300,41.2,
Census tract,Tract 1704,17031170400,48.6,
Census tract,Tract 1705,17031170500,18.9,
Census tract,Tract 1706,17031170600,31.5,
Census tract,Tract 1707,17031170700,50.0,
Census tract,Tract 1708,17031170800,40.7,
Census tract,Tract 1709,17031170900,62.2,
Census tract,Tract 1710,17031171000,31.4,
Census tract,Tract 1711,17031171100,33.8,
Census tract,Tract 1801,17031180100,38.3,
Census tract,Tract 1901,17031190100,72.1,
Census tract,Tract 1902,17031190200,76.2,
Census tract,Tract 1903,17031190300,74.9,
Census tract,Tract 1904.01,17031190401,73.3,
Census tract,Tract 1904.02,17031190402,68.2,
Census tract,Tract 1906.01,17031190601,88.1,
Census tract,Tract 1906.02,17031190602,79.4,
Census tract,Tract 1907.01,17031190701,85.7,
Census tract,Tract 1907.02,17031190702,92.4,
Census tract,Tract 1908,17031190800,89.0,
Census tract,Tract 1909,17031190900,82.0,
Census tract,Tract 1910,17031191000,86.1,
Census tract,Tract 1911,17031191100,80.4,
Census tract,Tract 1912,17031191200,90.9,
Census tract,Tract 1913.01,17031191301,84.5,
Census tract,Tract 1913.02,17031191302,84.4,
Census tract,Tract 2001,17031200100,57.6,
Census tract,Tract 2002,17031200200,74.7,
Census tract,Tract 2003,17031200300,78.3,
Census tract,Tract 2004.01,17031200401,94.4,
Census tract,Tract 2004.02,17031200402,87.2,
Census tract,Tract 2101,17031210100,39.2,
Census tract,Tract 2104,17031210400,71.0,
Census tract,Tract 2105.01,17031210501,62.7,
Census tract,Tract 2105.02,17031210502,66.5,
Census tract,Tract 2106.01,17031210601,50.5,
Census tract,Tract 2106.02,17031210602,35.2,
Census tract,Tract 2107,17031210700,50.3,
Census tract,Tract 2108,17031210800,20.9,
Census tract,Tract 2109,17031210900,15.9,
Census tract,Tract 2203,17031220300,8.8,
Census tract,Tract 2204,17031220400,8.6,
Census tract,Tract 2205,17031220500,2.1,
Census tract,Tract 2206.01,17031220601,9.5,
Census tract,Tract 2206.02,17031220602,26.5,
Census tract,Tract 2207.01,17031220701,55.0,
Census tract,Tract 2207.02,17031220702,57.2,
Census tract,Tract 2209.01,17031220901,83.7,
Census tract,Tract 2209.02,17031220902,50.4,
Census tract,Tract 2210,17031221000,55.6,
Census tract,Tract 2211,17031221100,35.7,
Census tract,Tract 2212,17031221200,2.2,
Census tract,Tract 2213,17031221300,39.4,
Census tract,Tract 2214,17031221400,9.7,
Census tract,Tract 2215,17031221500,27.0,
Census tract,Tract 2216,17031221600,0.5,
Census tract,Tract 2222,17031222200,0.7,
Census tract,Tract 2225,17031222500,40.9,
Census tract,Tract 2226,17031222600,21.5,
Census tract,Tract 2227,17031222700,50.8,
Census tract,Tract 2228,17031222800,53.1,
Census tract,Tract 2229,17031222900,51.5,
Census tract,Tract 2301,17031230100,25.7,
Census tract,Tract 2302,17031230200,80.6,
Census tract,Tract 2303,17031230300,77.5,
Census tract,Tract 2304,17031230400,88.3,
Census tract,Tract 2305,17031230500,95.6,
Census tract,Tract 2306,17031230600,95.4,
Census tract,Tract 2307,17031230700,89.9,
Census tract,Tract 2308,17031230800,84.7,
Census tract,Tract 2309,17031230900,59.6,
Census tract,Tract 2311,17031231100,90.7,
Census tract,Tract 2312,17031231200,94.7,
Census tract,Tract 2315,17031231500,93.0,
Census tract,Tract 2402,17031240200,0.5,
Census tract,Tract 2403,17031240300,0.4,
Census tract,Tract 2405,17031240500,0.1,
Census tract,Tract 2406,17031240600,10.3,
Census tract,Tract 2407,17031240700,36.8,
Census tract,Tract 2408,17031240800,36.7,
Census tract,Tract 2409,17031240900,57.8,
Census tract,Tract 2410,17031241000,45.0,
Census tract,Tract 2411,17031241100,20.8,
Census tract,Tract 2412,17031241200,3.1,
Census tract,Tract 2413,17031241300,1.0,
Census tract,Tract 2414,17031241400,1.8,
Census tract,Tract 2415,17031241500,0.5,
Census tract,Tract 2416,17031241600,2.8,
Census tract,Tract 2420,17031242000,8.5,
Census tract,Tract 2421,17031242100,0.9,
Census tract,Tract 2422,17031242200,0.5,
Census tract,Tract 2423,17031242300,1.0,
Census tract,Tract 2424,17031242400,3.3,
